v;e;seq;par;acc
10000;50000;6,31;6,04;1,05
20000;100000;11,31;11,92;0,95
50000;250000;39,28;27,73;1,42
100000;500000;86,74;62,50;1,39
200000;1000000;177,82;125,89;1,41
500000;2500000;472,18;325,10;1,45
1000000;5000000;985,65;776,95;1,27
2000000;10000000;2158,81;1806,13;1,20
5000000;25000000;6665,26;5124,59;1,30
