|-----|
| 10x |
|----------|-------------|-----------------|---------------|--------------|----------------|--------------|
| Vertices |    Edges    | Sequential (ms) | Parallel (ms) | Acceleration | Sequential (q) | Parallel (q) |
|----------|-------------|-----------------|---------------|--------------|----------------|--------------|
|    10000 |      100000 |           11,38 |         13,97 |        0,81x |              4 |            4 |
|    20000 |      200000 |           16,79 |         15,68 |        1,07x |              2 |            2 |
|    50000 |      500000 |           47,78 |         43,74 |        1,09x |              9 |            9 |
|   100000 |     1000000 |          104,85 |         83,58 |        1,25x |             10 |           10 |
|   200000 |     2000000 |          207,63 |        184,83 |        1,12x |             22 |           22 |
|   500000 |     5000000 |          555,47 |        474,77 |        1,17x |             48 |           48 |
|  1000000 |    10000000 |         1170,01 |       1073,69 |        1,09x |            102 |          102 |
|  2000000 |    20000000 |         2584,69 |       2576,66 |        1,00x |            176 |          176 |
|  5000000 |    50000000 |         8097,85 |       7448,31 |        1,09x |            448 |          448 |
|----------|-------------|-----------------|---------------|--------------|----------------|--------------|
