v;e;seq;par;acc
10000;250000;13,11;14,59;0,90
20000;500000;27,38;27,86;0,98
50000;1250000;81,07;74,97;1,08
100000;2500000;164,40;143,01;1,15
200000;5000000;334,79;279,55;1,20
500000;12500000;867,31;753,71;1,15
1000000;25000000;1790,81;1730,04;1,04
2000000;50000000;3929,48;4115,00;0,95
5000000;125000000;12394,67;12253,97;1,01
